;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571




Проектный практикум,



;;;Основы разработки информационных систем,

;;Базы данных,


;Основы профилактики и противодействия терроризму и экстремизму,










Машинное обучение,



Машинное обучение,


Иностранный язык,

;Технологическая (проектно-технологическая) практика DML 




Инновационная экономика и технологическое предпринимательство,




Инновационная экономика и технологическое предпринимательство,




;Управление проектами,


Управление проектами,


;;;Программная инженерия,

;Технологическая (проектно-технологическая) практика DML ауд.1110



;;;;;;;;;  ;;  ;Методология научных исследований Магид Е.А.  по чет.нед. практ.в 1409 ;                                                                                                                                                            ;Методология научных исследований Хафизов М. Р.  лекц.по н.н., прак. по ч.н. в ауд.1408             ;;;Практикум по развитию бизнеса Сингатуллина Г.Р. лекц.с 1- 9н. в ауд.1302   Методология научных исследований Галлямова Д.Х. лекц. с 10 н. в ауд.1302 ;Разработка облачных платформ-принципы, архитектура,инструменты. Валиуллин Р.М.в ауд. 1412
17.30-19.00;;;;;;;;;;Иностранный язык,



;;;;Базы данных,


;;;;;;Основы профилактики и противодействия терроризму и экстремизму,





Основы профилактики и противодействия терроризму и экстремизму,





Основы разработки информационных систем,

;Дисциплины по выбору:

Управление проектами,






;;;Управление проектами,



Управление качеством разработки ПО, Родионова А.В. 
Архитектура программных систем, Ихсанов И.С.
Управление проектами,


;Программная инженерия,

Управление проектами,



Основы информационного поиска,

;;;;;;;;;;;;Средства и инструменты программной инженерии Сафин Р.Н.по н.н. лекц. по ч.н. прак. в 1405 (22.04 не будет с переносом);Проектный практикум Нурлыгаянов Н.Р. ( 9нед.) в 1408;;Профессиональный иностранный язык (английский) ауд. 1301, Воронина Д.И. (вебинары) ;Практикум по развитию бизнеса Сингатуллина Г.Р. прак.с 1- 9н. в ауд.1302   Методология научных исследований Галлямова Д.Х. прак. с 10 н. в ауд.1302 ;Практикум по облачным технологиям Валиуллин Р.М.в 1412
19.10-20.40;;;;;;;;;;;;;;;;;;;;;;;;;;Дисциплины по выбору:


Архитектура программных систем, Тощев А.С. 

;;;Управление качеством разработки ПО, Родионова А.В.  
;;Архитектура программных систем, Ихсанов И.С.
Управление проектами,


Управление проектами,



Управление проектами



